"reviewer","authortype","logsales_10wk_cor","logsales_total_cor","rev_sd","rev_median","median_logsale_total","median_logsale_10wk","numscore"
"4Players.de","critic",0.513511538220833,0.562029017968579,1.46653713560488,7.4,12.3013873707787,11.2615591229087,226
"GamingExcellence","critic",0.513411503982686,0.508689561403593,1.58258133218635,7.7,13.180634172319,11.4848037296532,703
"Bret","user",0.512758580313318,0.35027061804223,0.966091783079296,8.5,12.8992226073355,11.4488721781708,10
"Eurogamer Italy","critic",0.51223789592484,0.519505334717036,1.48921902812292,8,13.1223653774023,11.3979522281293,915
"Electronic Gaming Monthly","critic",0.511446331522977,0.507611044677551,1.58748065609393,7.2,13.0604901013436,11.4777249071715,539
"GMR Magazine","critic",0.511072267240206,0.549286863825656,2.78088714861523,6.5,12.4292201968364,11.8133855497812,10
"GamerNode","critic",0.508691989219531,0.533018668269466,1.66524329435426,8,13.2176753753888,11.6641948550087,857
"ZemZ.","user",0.507902194027044,0.622286777932753,1.79947082168487,8,13.5589310108693,11.6150201760083,15
"dragonbillz","user",0.507378427511572,0.626916810411751,1.61932770686548,8,13.353476685668,12.1997929695729,10
"Jagkid007","user",0.506711713239809,0.653720311438265,2.35809373448259,8,14.8913978165329,13.8893024238218,22
"murut87","user",0.506708691437496,0.625080446223392,3.53190585581765,8,13.0170050839663,10.3309098279963,13
"Eurogamer Portugal","critic",0.506611262282628,0.542553513156094,1.47522518803665,7,13.3374763699232,11.6292408279982,687
"DarkStation","critic",0.505904145765017,0.536492829981245,1.52036027167288,8,13.2175100594073,11.6955067497106,660
"Exogenesis","user",0.505014480014875,0.400868320489461,2.23606797749979,7,14.6168384981431,12.7352059585283,12
"Gamers.at","critic",0.50491401736122,0.483257653091729,1.1274256155951,8.2,13.8002819696853,12.0457834079558,157
"G4 TV","critic",0.504890732883792,0.487089933685776,1.95820881746151,6,12.9239148777019,11.4048167319757,801
"Robbie111222","user",0.504649931843911,0.624357436678056,2.08637033540802,7.5,13.180634172319,11.8038248562967,18
"Strategy Informer","critic",0.503595572319706,0.525839211828876,1.66939534022089,7.5,13.2445436213096,11.6684532594838,614
"Ben","user",0.502935576002531,0.492553248264326,3.59107690440254,9,13.9865965320023,12.6126711300473,16
"GameBiz","critic",0.502172768780846,0.371466088929407,1.30437249618618,8,12.6905173200135,11.1240772203423,63
"AusGamers","critic",0.502057338107668,0.548501108889346,1.54479486339705,7.9,13.2877358537613,12.1860380630568,151
"Impulsegamer","critic",0.501424066091309,0.474557318950916,1.26813389187444,8.05,13.2085008228897,11.7253236874466,326
